X,Y,num,NAME,falla
391817.19407622516,7082614.5199885275,84,CHN_CT01_V01_DJI_0249,Tipo IV - BusBar
391811.7518317554,7082617.898688004,85,CHN_CT01_V01_DJI_0251,Tipo IV - BusBar
391811.4865444887,7082617.902855489,86,CHN_CT01_V01_DJI_0251,Tipo VI - CelulaCaliente
391816.58243052394,7082627.920948677,87,CHN_CT01_V01_DJI_0251,Tipo IV - BusBar
391823.04021446855,7082624.22249794,88,CHN_CT01_V01_DJI_0251,Tipo IV - BusBar
391811.2690967074,7082617.198664137,89,CHN_CT01_V01_DJI_0251,Tipo VI - CelulaCaliente
391813.4912331712,7082635.619022323,90,CHN_CT01_V01_DJI_0253,Tipo IV - BusBar
391816.5263744688,7082629.971985063,91,CHN_CT01_V01_DJI_0253,Tipo IV - BusBar
391822.99596917524,7082626.274975659,92,CHN_CT01_V01_DJI_0253,Tipo IV - BusBar
391813.7443236152,7082636.232963014,93,CHN_CT01_V01_DJI_0255,Tipo IV - BusBar
391816.78148078383,7082630.354332186,94,CHN_CT01_V01_DJI_0255,Tipo IV - BusBar
391813.7396292109,7082635.905340178,95,CHN_CT01_V01_DJI_0257,Tipo IV - BusBar
391817.9728075932,7082659.598445471,96,CHN_CT01_V01_DJI_0261,Tipo IV - BusBar
391817.9476430463,7082660.524037531,97,CHN_CT01_V01_DJI_0263,Tipo IV - BusBar
391818.7791639022,7082733.538240951,98,CHN_CT01_V01_DJI_0283,Tipo IV - BusBar
391818.80187363666,7082734.747568797,99,CHN_CT01_V01_DJI_0285,Tipo IV - BusBar
391818.6907968763,7082735.003593748,100,CHN_CT01_V01_DJI_0287,Tipo IV - BusBar
391818.8368568555,7082748.641971808,101,CHN_CT01_V01_DJI_0289,Tipo VI - CelulaCaliente
391818.8616600366,7082748.196327237,102,CHN_CT01_V01_DJI_0289,Tipo VI - CelulaCaliente
391818.8953097262,7082748.800472606,103,CHN_CT01_V01_DJI_0291,Tipo VI - CelulaCaliente
391818.9003172195,7082749.119233277,104,CHN_CT01_V01_DJI_0291,Tipo VI - CelulaCaliente
